Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Petites Madeleine pépites chocolat - St Michel - 400 g,3178530410143,400 g ℮,Non végétarien,"France, Suisse","Madeleines aux pépites de chocolat (5%) et pépites de chocolat au lait (2,7%)"
Cookie Crisp - 375,3387390326574,375 g,NON,"Belgique, France, Portugal, La Réunion, Espagne, Suisse","Céréales prêtes à consommer avec des pépites saveur chocolat (3%), avec 6 vitamines, calcium et fer"
Barilla sauce tomates basilic 400g - 400,8076809513722,400 g,NON,"Autriche, Belgique, France, Allemagne, Italie, Luxembourg, Espagne, Suisse",Sauce tomate au basilic
Pâte à tartiner - Poulain - 400,3664346312936,400 g,Non végétarien,"France, Maroc",
Cacahuetes Amendoim - Hacendado - 50,8480000168832,500g,NON,"France, Allemagne, Roumanie, Espagne",
Nutella - 70,80895237,700g,NON,"Autriche, Belgique, Bulgarie, Croatie, France, Allemagne, Hongrie, Roumanie, Russie, Serbie, Slovénie, Espagne, Suisse, en:Frankreich",
St Môret - 15,3272770098090,150g,Non végétarien,France,Spécialité laitière au lait pasteurisé
Toffifee - Storck - 125,4014400400007,125 g,Non végétarien,"Autriche, Bulgarie, République tchèque, France, Allemagne, Hongrie, Suisse",Une noisette (10%) enrobée de caramel (41%) et de crème de nougat (37%) recouverte de chocolat (12%)
Pain de mie bio Céréales et graines - La Boulangère Bio - 500 g - 14 tranch,3760049794298,500 g - 14 tranches,Végétarien,France,Pain de Mie Bio tranché aux Céréales et Graines
NESTLE CHOCAPIC BIO Céréales - 375,7613036669146,375 g,NON,"Belgique, France, Luxembourg, La Réunion",Céréales biologiques prêtes à consommer
Danette chocolat - Danone - 4x12,3033491279713,4x125g,Non végétarien,France,
Skyr vanille 2 x 140 g - Siggi's - 280,3023290030608,280 g,Non végétarien,France,Spécialité laitière sucrée à l'arôme naturel de vanille
Lay's Cuites au four nature - 130,3168930002987,130 g,Végétarien,"Belgique, France, La Réunion",Produit à base de pommes de terre cuit au four nature
Nesquik - Nestlé - 70,7613035239562,700g,NON,"France, Allemagne",Préparation en poudre instantanés pour boisson cacaotée.
Véritable Petit Beurre - Lu - 40,7622210476104,400g,Non végétarien,"France, Suisse","Petit beurre pur beurre, 73% blé"
Oat Cookies - Gullón - 425,8410376026962,425 g,Végétarien,"Andorre, France, Italie, Maroc, Portugal, Roumanie, Espagne, Tunisie",Oat Cookies
Sauce soja - Kikkoman - 150 ,8715035110106,150 ml,Végétarien,"Croatie, Danemark, France, Allemagne, Italie, Mexique, Pays-Bas, Norvège, Espagne, Suisse, Royaume-Uni",Sauce soja
Pain complet 3 céréales - Bjorg - 500,3229820019192,500 g,NON,"France, Suisse","Pain complet à base de seigle, avoine et orge - Pain Complet 3 Céréales"
NESTLE CHOCAPIC Céréales 750g - 750,7613034947611,750 g,NON,"France, Espagne, Suisse","Céréales aromatisées prêtes à consommer et enrichies en 7 vitamines, calcium et fer"
Lipton Ice Tea saveur pêche 33 cl - 330 ,3228886030011,330 ml,NON,"Belgique, France, La Réunion, Suisse","Boisson rafraîchissante aux extraits de thé goût pêche, avec sucres et édulcorant."
CONTREX eau minérale naturelle - hepar - 1.5,7613035866386,1.5 L,NON,"Belgique, France, Suisse, en:En",Eau minérale naturelle
M&M's peanut - Mars - 330,5000159492737,330 g,Non végétarien,"Belgique, France, Allemagne, Italie, Suisse",Cacahuètes (23%) enrobées de chocolat au _lait_ (48%} et dragéifiées
Arôme - Maggi - 25,4005500310105,250g,NON,"Autriche, France, Allemagne, Luxembourg, en:Deutschland, en:Frankreich",
Twix - Mars Wrigley - 50,5000159459228,50 g,Non végétarien,"Belgique, Bulgarie, France, Allemagne, Hongrie, Italie, Maroc","Biscuit, nappage au caramel enrobé de chocolat au lait"
Nature aux Amandes - Végétal soja & amande - Alpro - 500 ,5411188118961,500 gr,Végétarien,"France, Allemagne, Irlande, Italie, Espagne, en:Alemania, en:Bélgica, en:Francia, en:Reino Unido, en:Suiza",Produit fermenté à base de soja avec amandes calcium et vitamines ajoutés
GARDEN GOURMET Le Classique Soja et Blé 150g - 150,7613036092487,150 g,Non végétarien,"Belgique, France","Spécialité végétarienne à base de protéines de soja réhydratées, protéines de blé réhydratées et blanc d'œuf en poudre"
Pain grillé au blé complet - Pelletier - 500 g,3017760542890,500 g e,Végétarien,"France, La Réunion, Suisse",Pain grillé de campagne à la farine complète de blé - Pain Grillé Blé Complet
Krisprolls - 425,7311070362664,425 g,Végétarien,"France, Allemagne, Suisse",Petits pains suédois dorés
Activia au bifidus Nature - Danone - 500 g (4 * 125 ,3033491147067,500 g (4 * 125 g),Non végétarien,France,Yaourt nature - Activia Nature
Kinder Bueno - Ferrero - 43,80052760,43 g,Non végétarien,"Australie, Belgique, Estonie, France, Hongrie, Irlande, Italie, Lettonie, Lituanie, Maroc, Pologne, Portugal, Roumanie, Espagne, Suisse, Royaume-Uni",Barre chocolatée au lait et aux noisettes
Fitness Nature Céréales complètes - Nestlé - 475,7613287514325,475 g,NON,"France, Sénégal","Pétales de blé complet, de riz et d'avoine complète et source de 5 vitamines (B3, B5, B6, B2, B9), calcium et fer"
Granola L'original Gros éclats de Chocolat - Lu - 184,3017760756198,184 g,NON,"France, Nouvelle-Calédonie, La Réunion, Suisse",Biscuits aux morceaux de chocolat
"Biscuits Pavot Citron - Gerblé - 200 g, 4 sachets de 4 biscui",3175681066632,"200 g, 4 sachets de 4 biscuits",NON,"France, La Réunion, Suisse","Biscuits au pavot (5%) et au citron (0,9%), riches en magnésium et en vitamine B9, source de calcium et de vitamines B6, D et E.  l'expert diététique"
Barre Chocolatée Kinder Maxi Chocolat au Lait x11 - 231g - Ferrero - 231,4008400828121,231 g,Non végétarien,"Belgique, France, Allemagne, Espagne",Kinder maxi t11
Bio lait d'amande - Milbona - ,4056489346357,1l,Végétarien,"France, Allemagne, Italie, Suisse",Lait d'amande
Poudre stevia - Pure Via - 250,3329757002998,250 g,NON,"Belgique, France, Suisse",Édulcorant de table à base de glycosides de stéviol
Skyr - Danone - 825,3033491704642,825 g,Non végétarien,France,
Gourmand vegetal brasse nature - Andros - 400,3608580890898,400 g,Végétarien,"France, Suisse",Spécialité végétale fermentée au lait de coco nature
Coco pops - KELLOG'SKellogg's - 550,5053827192699,550 g,Végétarien,"France, Italie, en:Bélgica, en:Espagne, en:Francia, en:Suiza","Grains de riz soufflés au goût chocolat, enrichis en vitamines et en fer."
Yaourt soja nature - Alpro - 1p,5411188118121,1pcs,Végétarien,"Autriche, Belgique, Finlande, France, Allemagne, Irlande, Espagne, Suisse, Royaume-Uni, en:Alemania, en:Belgica, en:Francia, en:Reino-unido, en:Suecia, en:Suiza",
Skyr Nature - Danone - 480,3033491474187,480 g,Non végétarien,France,Spécialité laitière nature
Oméga 3® Doux - St Hubert - 250,3366321051983,250 g,NON,"France, La Réunion, Suisse","Matière grasse à tartiner et à cuire allégée (50 % MG), enrichie en vitamine B1"
Biscuits Kinder Cards lait et cacao 2x5 - 128g - KinderFerrero - 3p,8000500269169,3pcs,Non végétarien,"Finlande, France, Allemagne, Hongrie, Italie, Luxembourg, Roumanie, Espagne, en:Allemagne, en:Belgique, en:Espagne, en:Suisse, en:Suède",
PRESIDENT CAMEMBERT 250g - 0.25 ,3228021170039,0.25 kg,Non végétarien,"Belgique, France",Camembert au lait de vache pasteurisé.
Beurre de cacahuètes creamy - Menguy's - 454,3327272107259,454 g,NON,"France, Suisse",Beurre de cacahuètes crèmeux
Bio vegane Streichcreme mit Paprika und Chili - DM Bio - 30,10581724,30 g,NON,"Autriche, Croatie, République tchèque, France, Allemagne, Hongrie, Serbie",
NESTLE DESSERT Pâte à tartiner 340g - 340,7613287176561,340 g,Non végétarien,France,Pâte à tartiner au cacao et aux noisettes
Soya Drink  - Original - Alpro - ,5411188115472,1l,Végétarien,"Autriche, Belgique, France, Allemagne, Portugal, Suisse, en:Allemagne, en:Autriche, en:Belgique, en:Suisse",Boisson au soja avec calcium et vitamines ajoutés
Galbani mozzarella - boule 125g - 0.125 ,8000430138719,0.125 kg,Non végétarien,"France, Allemagne, Italie, Japon, Espagne, Suisse, Royaume-Uni",Fromage à pâte filée
Muffin de Arándanos - Nakd. - 140,5060088707685,140 g,Végétarien,"Belgique, République tchèque, France, Pays-Bas, Espagne",
Gaufres Miel - Bjorg - 175,3229820791081,175 g,Non végétarien,"Croatie, France, Nouvelle-Calédonie, La Réunion, Suisse",Gaufres fourrés au miel
Eau minérale naturelle - Mont Roucous - 1,3257971309114,1 L,Végétarien,France,
Philadelphia - 300,7622300685782,300 g,Non végétarien,"Belgique, France, Suisse","Fromage à pâte fraîche, au lait pasteurisé de vache, à tartiner et cuisiner"
Nutella - Ferrero - 900,8000500357729,900 g,Non végétarien,"Belgique, Bulgarie, France, Hongrie, Italie, Roumanie, Serbie, Suisse",
Biscuits à l'avoine complet - Bjorg - 130 g (3 x 43.4 ,3229820794532,130 g (3 x 43.4 g),Non végétarien,France,Biscuit à l'avoine
Nocciolata sans lait - Rigoni di Asiago - 27,8001505000061,270g,Végétarien,"France, Luxembourg, Suisse",Pâte à tartiner à la noisette
Tomato ketchup sans sucres ni sel ajoutés - Heinz - 42,8715700112596,425g,NON,"France, Allemagne, en:Belgique, en:Espagne",
Pom'Potes (Pomme) - Materne - 90,3021769505602,90 g,NON,"France, Suisse",compote de pomme
"Le Bio pour toute la famille multifruits - Pressade - 1,5",3254691586054,"1,5 l",NON,"France, La Réunion","Nectar multifruits à base de concentrés, de jus et de purées de fruits biologiques"
Pains au chocolat - Pasquier - 8 par 4,3256540001008,8 par 45g,Non végétarien,France,Pains au chocolat au levain
Nutella pâte à tartiner aux noisettes et au cacao 800g - Ferrero - 800,3017620420702,800 g,NON,France,NUTELLA : Pâte à tartiner aux noisettes
Tomates Gourmet - Azura - 250,3504182920011,250 g,Végétarien,"France, Allemagne",Tomates cerises allongées
Fleur de Maïs - Maïzena - 400,8712100338694,400 g,Végétarien,"Belgique, Canada, France, Martinique, La Réunion, Suisse",Fleur de Maïs®
Activia vanille - Danone - 500,3033491351082,500 g,Non végétarien,"Belgique, France, Luxembourg, Espagne",
"Schokolade 70%, Cacao - Lindt - 10",3046920029780,100g,Végétarien,"Australie, Danemark, France, Allemagne, Maroc, Espagne, Suisse",Chocolat noir 70%
Blanc de Poulet  - 25% de Sel* - Fleury Michon - 160,3095757697105,160 g,Non végétarien,France,Blanc de poulet allégé en sel
Bjorg fourrés chocolat au lait - 9 biscuit poids net 22,3229820181950,9 biscuit poids net 225g,Non végétarien,"France, Japon, Suisse",Biscuits fourrés au chocolat au lait
Coco - alpro - 1,5411188116592,1 l,Végétarien,"Autriche, Belgique, République tchèque, France, Allemagne, Hongrie, Italie, Luxembourg, Maroc, Pays-Bas, Pologne, Portugal, Roumanie, Slovaquie, Suède, Suisse","Boisson à base de noix de coco avec du riz, du calcium et des vitamines ajoutées"
Penne rigate Blé complet - Barilla - 50,8076809529433,500g,NON,"Belgique, France, Allemagne, Hongrie, Italie, Slovénie, Espagne, Suisse",Pâtes alimentaires au blé dur complet
Flocos d'avoine bio - Crownfield - 500,40897677,500 g,NON,"France, Allemagne, Pays-Bas, Portugal, Espagne, Suisse","Flocons d'avoine complète, biologique"
Tartine doux - Primevère - 500,3155251205302,500 g,NON,France,Matière grasse à tartiner
Galette boulgour et quinoa à la tomate - Céréal Bio - 200 g (2 x 100 ,3175681028111,200 g (2 x 100 g),Végétarien,France,"Spécialité végétale, à base de blé et de quinoa, issues de l'agriculture biologique"
"Coca-Cola - The Coca-Cola Company - 1,75",5449000130389,"1,75 L",NON,"Autriche, République tchèque, France, Allemagne, Hongrie, Irak, Pologne, Portugal, Slovaquie, Royaume-Uni",Sparkling Soft Drink with Vegetable Extracts
Céréales All Bran Kellogg's Fibre Plus - 500,3159470001424,500 g,NON,"Belgique, France, Guadeloupe, Italie, en:Allemagne, en:Belgique, en:Espagne, en:Pays-Bas, en:Royaume-Uni, en:Suisse","Céréale au son de blé naturellement riche en fibres, enrichie en vitamines (B1, B2, Niacine, B6, Acide Folique, B12) et en fer."
Avoine calcium - Boisson biologique - Bjorg - 1,3229820792132,1 L,Végétarien,"France, Maurice, La Réunion, Suisse","Boisson biologique à base d'avoine et d'algue Lithothamniul calcareum source de calcium, stérilisée UHT"
Coca Cola zéro - 1.,5449000133335,1.5l,NON,"Autriche, Belgique, France, Allemagne, Grèce, Luxembourg, Pologne, Portugal, Serbie, Espagne, Suède, Suisse",Boisson au cola gazéifiée sans sucre
Diet Nature - Biscuit avec fibre sans sucres - Gullón - 170,8410376009392,170 g,NON,"France, Guadeloupe, Hongrie, Maroc, Roumanie, Espagne, Tunisie",Galletas fibra integral sin azúcares
Lait demi-écrémé stérilisé U. H. T. - La marque du consommateur/C'est qui le patron ?! - 1,3248340054063,1 l,NON,France,Lait demi-écrémé stérilisé U.H.T.
Skyr Style sans sucres - Alpro - 400,5411188128588,400 g,Végétarien,"Autriche, Belgique, Finlande, France, Allemagne",Produit fermentée au soja avec calcium et vitamines ajoutés
"Lait 100 % français Matin Léger® SANS LACTOSE Lait 1,2% M.G. - Lactel - 1",3428273980046,1 L,NON,"France, Suisse","Lait à 1,2 % de MG stérilisé UHT à teneur réduite en lactose (< 0,5 g/100 ml)  et enrichi en vitamine D - Matin Léger Demi-Écrémé"
Sauce Tomate cuisinée aux petits légumes - Panzani - 180,3038359004544,180 g,Non végétarien,France,Sauce tomate cuisinee aux petits legumes
Excellence Noir Puissant 85% - Lindt - 100,3046920028363,100 g,NON,"Andorre, Autriche, Belgique, Bulgarie, Danemark, France, Allemagne, Hongrie, Italie, Maroc, Pays-Bas, Pologne, Portugal, Roumanie, Russie, Espagne, Suisse, Royaume-Uni",Tableta de chocolate negro con un 85%  de cacao mínimo
Câlin - Yoplait - 850,3329770057234,850 g,Non végétarien,"France, Suisse",Fromage blanc à 0% de matière grasse
Tomato ketchup - Heinz - 43,8715700423913,435g,NON,"France, Suisse",Tomato ketchup avec sucre et édulcorant
Kiri - 144,3073781131888,144 g,Non végétarien,"Belgique, France, Allemagne, Luxembourg, Suisse",Fromage fondu
Confiture extra fraises - Maribel - 1p,,1pcs,Végétarien,"Belgique, Chine, Croatie, France, Allemagne, Pologne","Confiture extra de fraises, 50% de fruits"
Muesli aux fruits - Bjorg - 750,3229820116716,750 g,Végétarien,"France, Espagne",Muesli aux fruits
Skyr framboise - Siggi's - 280,3023290030547,280 g,Non végétarien,"France, Allemagne",Spécialité laitière sucrée à la framboise
Noisette - Alpro - 1,5411188110842,1 L,Végétarien,"Belgique, Finlande, France, Italie, Suisse, en:Allemagne, en:Belgique, en:Royaume-Uni, en:Suède",Boisson à base de noisette avec calcium et vitamines ajoutés.
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande - 320,3412290070071,320 g,Non végétarien,"Belgique, France",Fromage fouetté nature au sel de Guérande
Capri-Sun Multi Vitamin* - 200 ,4000177158319,200 ml,NON,"Belgique, France, en:Belgique, en:Suisse",
Muesli Crunchy Avoine Chocolat - Alnatura - 10,11044204,100g,Végétarien,"Autriche, Belgique, France, Allemagne, Luxembourg, Suisse, de:Allemagne",
"Lipton Ice Tea saveur pêche zéro sucres 1,5 L - 1500 ",3502110008459,1500 ml,NON,"Belgique, France, États-Unis","Boisson rafraîchissante aux extraits de thé goût pêche, avec édulcorants."
PERRIER eau minérale naturelle gazeuse 33cl - 330 ,7613034579102,330 ml,NON,France,Eau minérale naturelle avec adjonction de gaz carbonique.
Magnum Amande - Unilever - 328,8712566328208,328 g,NON,France,Glace vanille à l'arôme naturel de vanille de Madagascar enrobée de chocolat au lait (28%) et d'amandes (5%).
Céréales Special K Kellogg's Nature - 440,5050083934100,440 g,NON,"France, Italie, Espagne, en:Francia, en:Martinica, en:Suiza","Pétales de riz, blé complet et orge enrichis en vitamines (B1, B2, niacine, B6, acide folique, B12, D), en zinc et en fer."
GARDEN GOURMET Carré gourmand Tomates et mozzarella 160g - 160,7613035694958,160 g,Non végétarien,France,Spécialité végétarienne à base de tomates cerises et fromages
Sirop de Grenadine - Teisseire - 60 cl,3092718627850,60 cl e,NON,France,
Toblerone - 10,7614500010013,100g,Non végétarien,"Australie, Belgique, Bolivie, France, Allemagne, Italie, Pologne, Espagne, Suisse, Thaïlande",Chocolat au lait Suisse avec nougat (10%) au miel et aux amandes
Cheerios Bio - Nestlé - 375,7613036669498,375 g,Non végétarien,"Belgique, France, Suisse","Céréales biologiques, aromatisées, avec du miel (3,7%) et prêtes à consommer"
Nutella - FERRERO - 75,80176800,750g,Non végétarien,"Algérie, Autriche, Belgique, Croatie, France, Guyane, Polynésie française, Allemagne, Guadeloupe, Hongrie, Irlande, Jordanie, Liban, Martinique, Maroc, Portugal, La Réunion, Roumanie, Sénégal, Serbie, Slovénie, Espagne, Tunisie, Royaume-Uni",Pate à tartiner aux noisettes et chocolat
Biscottes aux céréales et aux graines - Maître Jean Pierre - 300 ,20298036,300 gr,NON,France,Biscotte
Ouf! La pâte à tartiner - Funky Veggie - 200,3770008009653,200 g,Végétarien,France,"Pâte à tartiner biologique à base de haricots rouges, cacao et noisettes"
Canneberges (séchées/sucrées) - Alesto - 20,20150907,200g,Végétarien,"Belgique, France, Allemagne, Roumanie, Espagne",Canneberges entières séchées et sucrées - Cranberries Séchées et Sucrées
"Coca-Cola® Sans sucres Sans colorants - Coke ZÉRO® - 1,25 L",5000112611762,"1,25 L e",NON,"Belgique, France, Allemagne, Suisse","Boisson rafraîchissante aux extrait végétaux, avec édulcorants."
Ferrero Rocher gaufrettes chocolat au lait et fourrées noisettes x30 - 375g - 375,8000500167113,375 g,Non végétarien,"Algérie, France, Italie, Mexique, Espagne, Tunisie, en:Bélgica, en:Estados Unidos, en:Francia, en:Marruecos, en:Suiza",Fines gaufrettes enrobées de chocolat au lait et noisettes broyées et fourrées noisette
BEN & JERRY'S Glace en Pot Cookie Dough 465ml - 406,8711327373105,406 g,Non végétarien,"Autriche, France, Allemagne, Portugal, Espagne, en:Belgien, en:Deutschland, en:Frankreich, en:Vereinigtes-konigreich",Crème glacée vanille avec des morceaux de pâte de cookie aux pépites de chocolat (16%) et des inclusions cacaotées (1%).
Le Supérieur - à l'Etouffée - Conservation sans Nitrite - Fleury Michon - 140,3302740047367,140 g,Non végétarien,France,Jambon blanc
Biscotte gout brioche heudebert - LU - 290,3017760771894,290 g,Non végétarien,France,La Biscotte Goût Brioché
Tartines de Pain Blé Complet - Brioche Pasquier - 240 g (24 t,3182180060320,240 g (24 tr),Végétarien,"France, Suisse",
President emmental coeur de meule 250g - 250,3228021170022,250 g,Non végétarien,France,Emmental français (fromage à pâte pressée cuite)
Panier de Yoplait - 2080,3329770063624,2080 g,Non végétarien,France,"Yaourt sucré, aux fruits aromatisé"
Original - Benco - 40,3034470003107,400g,NON,France,Chocolat en poudre
Pancakes - Brioche Pasquier - 350 g (10 x 35 ,3187670002347,350 g (10 x 35 g),NON,"France, Suisse",
Chocolat noir aux noisettes entières - Côte d'Or - 180 g 14 unit,7622210995087,180 g 14 unités,Non végétarien,"France, Guadeloupe",Chocolat noir extra-supérieur aux noisettes entières
Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal - 385,8712100731822,385 g,Non végétarien,France,"Spécialité à la moutarde de Dijon, aux épices et aromates."
Pain de mie Complet Lin & Tournesol - Harrys - 320,3228857001101,320 g,NON,France,"Pain de mie a la farine complète de blé, farine de blé, et aux graines de tournesol et de lin"
Houmous extra - Pois chiches français & graines de sésame - Blini - 175,3292070005161,175 g,Végétarien,"France, Espagne, Suisse",
Pringles Original - 200,5053990138722,200 g,Végétarien,"Autriche, Belgique, France, Allemagne, Suisse, Royaume-Uni",Snack salé
Véritable petit beurre - LU - 200 g,7622210988034,200 g e,Non végétarien,"France, Guadeloupe, La Réunion, Suisse",Petits beurre
Bio Oat Drink - Vemondo - 1,4056489244691,1 l,Végétarien,"Belgique, France, Allemagne, Suisse",
La Vache qui rit - 12P - 19,3073781149838,192g,Non végétarien,"Belgique, France",Spécialité fromagère fondue
Pago Ace - Orange - Carotte - Citron - 0.75,9002515601018,0.75cl,NON,France,
Skyr - Yoplait - 850,3329770077003,850 g,Non végétarien,France,
Fromage blanc 0% - Lidl Envia - 1 ,20266394,1 kg,Non végétarien,France,Fromage blanc à 0% de matière grasse
Roudor - St Michel - 150,3023470020016,150 g,Non végétarien,"Belgique, France, Suisse","Biscuits bretons, palets croustillants & fondants"
NESCAFÉ SPECIAL FILTRE L'Original Flacon de 200g - Nestlé - 200,3033710074525,200 g,Végétarien,"Belgique, France, Suisse",100% Café instantané
Nature - Lay's - 150,3168930008958,150 g,NON,"France, Espagne, États-Unis, en:Allemagne, en:Belgique, en:Espagne, en:Royaume-Uni",Chips de pommes de terre
Kinder bueno white gaufrettes enrobees de chocolat blanc x2 barres - Ferrero - 39,80761761,39 g,Non végétarien,"Belgique, Bulgarie, France, Allemagne, Hongrie, Italie, Pologne, Portugal, Roumanie, Serbie, Espagne, Suisse","KINDER BUENO WHITE : Fines gaufrettes enrobées de chocolat blanc et de pépites au cacao (6,5%), fourrées lait et noisettes broyées"
Gnocchi à poêler - Lustucru - 515,3240931545059,515 g,Végétarien,France,Gnocchi
Hipro fraise framboise - Danone - 300 g (291 m,3033491485756,300 g (291 ml),Non végétarien,France,
"Sablé de Retz - St Michel - 120 g ℮, 4 sachets, 20 sabl",3023470010017,"120 g ℮, 4 sachets, 20 sablés",Non végétarien,"Belgique, France, Martinique, La Réunion, Suisse",20 sablés à la noix de coco
President emmental rape fondant 200g - 200,3228021170046,200 g,Non végétarien,"France, Japon",Emmental Françcais râpé (fromage à pâte pressée cuite)
Chocolat noir bio 70% - Fairglobe - 100,40896243,100 g,NON,"Belgique, Bulgarie, France, Allemagne, Pays-Bas, Portugal, Serbie, Espagne",Chocolat noir issu de l'agriculture biologique
Miel Pops - Kellogg's - 400,5053827101066,400 g,Non végétarien,"France, Martinique, La Réunion, Suisse",
"RICORE Original, Café & Chicorée, Boîte 260g - Nestlé - 260",7613032655495,260 g,Végétarien,"France, Nouvelle-Calédonie, Suisse",Café chicorée solubles et fibres de chicorée
Petit Pains Grillés Blé complet - Maître Jean Pierre - 22,4056489039518,225g,Végétarien,France,
Coca Cola - 1.2,5000112546415,1.25l,Végétarien,"France, Allemagne, en:Deutschland",koffeinhaltiges Erfrischungsgetränk mit Pflanzenextrakten
Lightly sea salted crisps - Tyrrell's - 150,5060042641000,150 g,Végétarien,"France, Allemagne, Pays-Bas, Suisse, Royaume-Uni",Chips de pommes de terre légèrement salées au sel de mer
Avoine - Alpro - 1,5411188115366,1 L,Végétarien,"Belgique, République tchèque, France, Allemagne, Hongrie, Italie, Portugal, Royaume-Uni",Boisson à l'avoine avec calcium et vitamines ajoutés
BIO Muesli croustillant chocolat - Crownfield - 500,4056489300786,500 g,Non végétarien,"Belgique, France, Allemagne, Portugal",
Casse-croûte original - BN - 400,3061990143594,400 g,Végétarien,France,
Biscottes Pleine vie Sans sel ajouté - Lu - 300,3392460481114,300 g,NON,"France, Polynésie française, La Réunion, Suisse","Biscottes à teneur très pauvre en sodium, enrichies en vitamines E, B1, PP, B6 et acide folique, en calcium et en zinc"
Pringles Sour Cream & Onion - 200,5053990138753,200 g,Non végétarien,"Autriche, France, Allemagne, Espagne, Suisse, Royaume-Uni, en:Belgien, en:Deutschland, en:Frankreich, en:Marokko, en:Schweden, en:Schweiz, en:Spanien, en:Vereinigtes Königreich",Snack salé au goût crème acidulée et oignon
NESQUIK Céréales 750g - Nestlé - 750,7613034938688,750 g,NON,"France, Suisse","Céréales aromatisées, prêtes à consommer avec 7 vitamines, calcium et fer"
Petit gâteau enrobé au cacao et fourré au lait - Kinder - 39,8000500267035,39 g,Non végétarien,"Belgique, France, Hongrie, Italie, Mexique, Maroc, Portugal, Roumanie, Espagne, Suisse",Pastelito con cobertura de cacao con relleno a base de leche
Fromage pur chèvre - Chavroux - 15,3272770003148,150g,Non végétarien,"Belgique, Chine, France, Allemagne, Guadeloupe, Italie, Suisse","Fromage industriel de France, à pâte fraîche, au lait pasteurisé de chèvre"
Kinder Riegel - 21,40084077,21 g,Non végétarien,"Belgique, France, Allemagne, Pologne, Espagne, Suisse","Gefüllte Milchschokolade mit Milchfüllung (59,5%)"
"Coca-Cola zéro sucres - 1,75",5000112611878,"1,75 L",NON,"Belgique, France, Espagne, Suisse","Boisson rafraîchissante aux extraits végétaux, avec édulcorants."
Gerblé bio cranberry saveur amande - GerbléGerblé Bio - 132 g (4 × 3 biscuit,3175681257542,132 g (4 × 3 biscuits),NON,"France, La Réunion",Sablés Amande Cranberry Bio
Pain 100% mie nature PT - Harrys - 650,3228857000913,650 g,Non végétarien,"France, Suisse",
Grany Pommes - LU Mondelez Grany - 125 g (x,3392460510050,125 g (x6),NON,France,Barre céréalière à la pomme
Sauce barbecue - Heinz - 480,87157154,480 g,NON,"Belgique, Estonie, France, Hongrie, Espagne, Suisse",
Nutella - 100,4008400401829,1000g,Non végétarien,"Croatie, France, Allemagne, Hongrie, Serbie, États-Unis",
Pesto genovese 190g ger - Barilla - 190,8076809513746,190 g,Non végétarien,"Autriche, France, Allemagne, Grèce, Luxembourg, Roumanie, Suisse",Sauce pesto avec basilic
Céréales Corn Flakes - Kellogg's - 500,8410188012092,500 g,NON,"France, Italie, Portugal, Roumanie, Espagne",
La Vache qui rit - 24P - 384,3073781149913,384 g,Non végétarien,France,Spécialité fromagère fondue
Panzani - spf - sauce pesto vert 200g - 200,3038354199603,200 g,Non végétarien,"France, Roumanie, Suisse",Sauce
Muesli Protéines - Bjorg - 375,3229820794556,375 g,Végétarien,France,Muesli aux protéines de soja et aux dattes
Curly Cacahuète Original - Vico - 100,3336971209133,100 g,NON,France,Produit soufflé à base de maïs
Oméga 3 Doux Tartine & Cuisson - St Hubert - 510,3366321051686,510 g,NON,"France, Suisse","Matière grasse à tartiner et à cuire allégée (52 % MG), enrichie en vitamine B1"
CRUNCH - Nestlé - 100,8000300264388,100 g,Non végétarien,"Belgique, France, Martinique, La Réunion, Serbie, Espagne, Suisse",Chocolat au lait et céréales croustillantes
Baiocchi - Barilla - 26,8076809573252,260g,NON,"France, Allemagne, Italie, Espagne, Suisse",Biscuit fourrés aux noisettes et cacao
Lipton Ice Tea Saveur Pêche - 330 ,3168930159896,330 ml,NON,"France, La Réunion","Boisson rafraîchissante aux extraits de thé goût pêche, avec sucres et édulcorant."
Zitronensaft wenig - Solevita - 200,20019907,200ml,Végétarien,"Belgique, Bulgarie, France, Allemagne, Roumanie, Suisse, Royaume-Uni",Jus de citron à base de jus de citron concentré
Crème chantilly - Président - 250 g (241 m,3155250349793,250 g (241 ml),Non végétarien,"Brésil, France, Suisse",Crème stérilisée UHT sucrée aromatisée sous pression
Nutella - Ferrero - 600,80135876,600 g,Non végétarien,"Croatie, France, Hongrie, Koweït, Liban, Portugal, Roumanie, Espagne, Turquie",
Ferrero Rocher - 200,8000500003787,200 g,NON,"Australie, Autriche, Belgique, France, Maroc, Portugal, Espagne, Suisse, Royaume-Uni, États-Unis",Fines gaufrettes enrobées de chocolat au lait et noisettes broyées et fourrées noisette
Biscottes complètes bio - Carrefour Bio - 300 g (2 x 1,3560070308316,300 g (2 x 18),Végétarien,"France, Espagne, en:Francia, en:Polinesia Francesa",recategorisation du product_id 1373058 | excatego:107 | exns:A/-1
Actimel 0% - Danone - 800,3033491214509,800 g,Non végétarien,"Belgique, France, Allemagne, Espagne","Spécialité laitière fermentée à boire au L casei , aromatisée, avec sucres et édulcorants et enrichie en vitamines B6 et D"
Bebida de avena - ALITEY - 1,8423352861402,1 l,Végétarien,"France, Roumanie, Espagne",Bebida de avena UHT
