Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Nutella - Ferrero - 350,80177173,350 g,Non végétarien,"Algérie, Colombie, Côte d'Ivoire, Danemark, France, Allemagne, Guadeloupe, Iran, Irak, Israël, Italie, Martinique, Maurice, Mongolie, Maroc, Nigeria, Norvège, Pologne, Portugal, La Réunion, Russie, Rwanda, Sénégal, Slovaquie, Espagne, Suède, Royaume-Uni",Nutella
Lindt Excellence 85% cacao - 100,3046920022606,100 g,Non végétarien,"Autriche, France, Italie, Maroc, La Réunion, Espagne, en:Alemania, en:Belgica, en:Francia, en:Paises-bajos, en:Suiza","Chocolat noir extra fin, traditionnel"
Noir Prodigieux 90% cacao - Lindt - 100,3046920029759,100 g,Végétarien,"Algérie, Belgique, République tchèque, Finlande, France, Polynésie française, Allemagne, Italie, Maurice, Maroc, Pays-Bas, La Réunion, Singapour, Espagne, Suède, Suisse, Royaume-Uni",Chocolat noir extra-fin traditionnel à 90% de cacao
Eau minérale naturelle - Hépar - 1,7613035974685,1 L,NON,"Belgique, France",Eau minérale naturelle
Coca-Cola - 1,5449000054227,1 L,NON,"Algérie, Autriche, Belgique, Bulgarie, Cameroun, Croatie, France, Allemagne, Hongrie, Italie, Kazakhstan, Maroc, Pologne, Portugal, La Réunion, Russie, Sénégal, Serbie, Espagne, Suède, Suisse, Tunisie, Turquie, Ukraine, Royaume-Uni",Boisson rafraîchissante aux extraits végétaux
"Volvic - 1,5",3057640257773,"1,5 L",NON,"Belgique, France, Allemagne, Luxembourg, Suisse",Volvic
Pain AMS complet - Harrys - 600,3228857000906,600 g,NON,"Belgique, France, Guadeloupe, Suisse",Pain de mie a la farine complète
Chocolat au lait du Pays Alpin - Milka - 10,3045140105502,100g,Non végétarien,"Autriche, République tchèque, France, Allemagne, Hongrie, Espagne",Tablette de chocolat - Chocolat au Lait du Pays Alpin
Tartine croustillante Authentique - Wasa - 275,7300400481595,275 g,Végétarien,"France, Italie, Espagne, Suisse",Produit de boulangerie a la farine de seigle
Tartine doux végétal - Primevère - 250,3155251205296,250 g,Végétarien,"Algérie, Côte d'Ivoire, France, Martinique, La Réunion, Suisse",Matière grasse à tartiner
Almond No Sugars - Alpro - 1,5411188112709,1 l,Végétarien,"Albanie, Autriche, Belgique, Croatie, Finlande, France, Allemagne, Grèce, Hongrie, Irlande, Luxembourg, Pays-Bas, Norvège, Pologne, Portugal, La Réunion, Roumanie, Espagne, Suède, Suisse, Royaume-Uni",Lait d'amande avec calcium et vitamines ajoutés
Barilla sauce pesto alla genovese basilic frais 190g - 190 g,8076809513753,190 g e,Non végétarien,"Belgique, France, Allemagne, Maroc, Norvège, Suisse",Sauce pesto avec basilic
Alpro Vanille - 500,5411188103387,500 g,Végétarien,"Belgique, France, Allemagne, Hongrie, Italie, Pays-Bas, Portugal, Espagne, Suisse, Royaume-Uni","produit fermenté au soja, vanille, avec calcium et vitamines ajoutés"
Pains au lait - Brioche Pasquier - 350,3256540000698,350 g,Non végétarien,"Belgique, France, Suisse, Royaume-Uni, États-Unis",Pains au lait au levain
Nature à la noix de coco - Alpro - 500,5411188119098,500 g,Végétarien,"Autriche, Belgique, Finlande, France, Allemagne, Italie, Portugal, Espagne, Suisse, Royaume-Uni",
Kinder Bueno - 4,8000500037560,43g,Non végétarien,"Belgique, France, Allemagne, Italie, Espagne, Suisse, en:Algérie, en:Allemagne, en:Belgique, en:Espagne, en:Maroc, en:Royaume-Uni, en:Suisse, en:Tunisie, en:États-Unis","KINDER BUENO : Fines gaufrettes enrobées de chocolat au lait, fourrées lait et noisettes broyées"
Nutella - Ferrero - 75,4008400404127,750g,Non végétarien,"Autriche, Belgique, Croatie, France, Allemagne, Luxembourg, Maroc, Suisse",Pâte à tartiner aux noisettes
Coca Cola 1.,5449000000439,1.5l,NON,"Algérie, Autriche, Belgique, République démocratique du Congo, France, Allemagne, Italie, Maroc, Pologne, La Réunion, Suède, Suisse, Tunisie, Ukraine, Royaume-Uni",Boisson rafraîchissante contenant de la caféine
Arome MAGGI - Nestlé - 200,3033710084913,200ml,NON,"France, Polynésie française, Allemagne, Guadeloupe, Nouvelle-Calédonie, La Réunion, Suisse, en:belgique",Assaisonnement liquide
HIPRO 15g protéines - Danone - 2 x 160,3033491588136,2 x 160 g,Non végétarien,"Belgique, France",HIPRO vanille
Nutella - NutellaFerrero - 1p,4008400401621,1pcs,Non végétarien,"France, Allemagne, Hongrie, Pays-Bas, en:Deutschland",
Chocolat Noir Pour Préparations Pâtissière - Nestlé - 20,7613035040823,205g,NON,"Belgique, France, Allemagne, La Réunion, Suisse",Chocolat noir supérieur
Perrier - 1,7613035833272,1 l,NON,"Belgique, Chine, France, Allemagne, La Réunion, Suisse",eau minérale naturelle renforcée au gaz de la source
Coca zéro - Coca cola - 500 ,5449000131836,500 ml,NON,"Autriche, Belgique, France, Allemagne, Guernesey, Hongrie, Italie, Maroc, Roumanie, Serbie, Espagne, Suisse, Tunisie, Royaume-Uni, en:Alemania, en:Belgica, en:Costa-de-marfil, en:Francia, en:Luxemburgo, en:Marruecos, en:Reino-unido, en:Suecia, en:Suiza","Boisson rafraîchissante aux extraits végétaux, avec édulcorants"
pulco - 24p,3225350000501,24pcs,NON,"Belgique, France, Allemagne, Suisse",
